"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Industri Batubara dan Pengilangan Migas","Indirect Land-based",462729.448888128,462745.700898843,462762.765510078,462780.683603845,462799.512515727,462819.279636169,462840.038820879,462861.83834909,462884.726685082,462908.76070629,462933.996428634,462960.493937041,462988.316320874,463017.529823896,463048.187552686
"Industri Makanan dan Minuman","Indirect Land-based",711669.796951947,711676.713334564,711683.975536357,711691.600904676,711699.610207575,711708.020134267,711716.850709409,711726.123328417,711735.859219805,711746.082289845,711756.816513445,711768.087448139,711779.921929578,711792.348135096,711805.392734673
"Pengolahan Tembakau","Indirect Land-based",32399.5453991754,32399.7502718783,32399.96538822,32400.1912612021,32400.4284741593,32400.6775450793,32400.9390776886,32401.2136947251,32401.5020383055,32401.8048037123,32402.1227073888,32402.4565062416,32402.8069950503,32403.1750082916,32403.5613711976
"Industri Tekstil dan Pakaian Jadi","Industri",2452507.73891132,2452520.69333012,2452534.29546994,2452548.57785443,2452563.57841112,2452579.3271602,2452595.86643805,2452613.23368465,2452631.46848006,2452650.61589549,2452670.72068171,2452691.83070735,2452713.99623415,2452737.27003725,2452761.70316488
"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",236091.441197777,236093.07695248,236094.794494919,236096.597924845,236098.492034638,236100.480959423,236102.569401813,236104.762360491,236107.064906051,236109.48264449,236112.021269856,236114.686826494,236117.485660952,236120.424437135,236123.509595002
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",125939.351584288,125941.895926534,125944.567485921,125947.372659012,125950.324071034,125953.423674293,125956.677391352,125960.09442784,125963.682283766,125967.449568149,125971.405216729,125975.558647739,125979.919750283,125984.498907985,125989.300332256
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",472980.518179695,472983.299104431,472986.219075406,472989.285257562,472992.512901324,472995.894487015,472999.452073421,473003.18913568,473007.112085481,473011.232242227,473015.558406821,473020.100879641,473024.870476096,473029.878552383,473035.128130528
"Industri Kimia Farmasi dan Obat Tradisional","Industri",833536.256301472,833546.622689839,833557.507397595,833568.937221189,833580.98164427,833593.650291006,833606.952597498,833620.928222487,833635.5969689,833651.005207254,833667.183857601,833684.171440441,833702.008402421,833720.737212511,833740.355273584
"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",422689.21120764,422692.753173588,422696.472237821,422700.377390016,422704.495159831,422708.81983689,422713.359271642,422718.127672404,422723.134187086,422728.391360552,422733.911392742,422739.70742652,422745.793261991,422752.183389246,422758.873644346
"Industri Barang Galian bukan Logam","Indirect Land-based",447320.700613649,447322.079494215,447323.52731882,447325.047644809,447326.664409943,447328.36453574,447330.14599038,447332.018631879,447333.984852823,447336.04944216,447338.217261007,447340.493470783,447342.883491054,447345.393012336,447348.005143484
"Industri Logam Dasar","Industri",692727.46521713,692729.952566025,692732.564282375,692735.30662383,692738.193341839,692741.225315136,692744.407581465,692747.749713366,692751.258932009,692754.94363319,692758.812569439,692762.874952513,692767.140454722,692771.619232061,692776.313820463
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",3641695.54406803,3641779.74663566,3641868.15933186,3641960.99549222,3642058.97483169,3642161.91177215,3642269.90919388,3642383.35902315,3642502.47917332,3642627.55768855,3642758.89013018,3642896.78919428,3643041.58321082,3643193.61692886,3643352.69116362
"Industri Mesin dan Perlengkapan YTDL","Industri",2346750.7123924,2346767.84259553,2346785.82930882,2346804.71566776,2346824.56909004,2346845.41957438,2346867.31346463,2346890.30539211,2346914.44546388,2346939.7941045,2346966.41017712,2346994.35705325,2347023.70127346,2347054.51270435,2347086.83952893
"Industri Alat Angkutan","Industri",3183316.93527566,3183331.1068958,3183345.98709683,3183361.61137329,3183378.021209,3183395.25119765,3183413.34327155,3183432.34061115,3183452.28751514,3183473.23209167,3183495.22389705,3183518.31529276,3183542.56125813,3183568.01952193,3183594.74589562
"Industri Furnitur","Indirect Land-based",69704.8712301138,69705.6287005237,69706.4240444511,69707.2591830098,69708.1372047494,69709.0578254449,69710.0256806996,69711.0421284539,69712.1093034771,69713.229943823,69714.406616204,69715.6421221915,69716.939403471,69718.3015488237,69719.7305660618
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",159145.221001274,159146.625712079,159148.100658445,159149.649372877,159151.276937328,159152.987315145,159154.783418771,159156.669539365,159158.649873543,159160.729324628,159162.91274826,159165.205343079,159167.612567632,159170.140153402,159172.792554232
"Ketenagalistrikan","Energi",47179.3171852432,47179.3172803304,47179.3173801719,47179.3174850062,47179.3175950842,47179.3177106132,47179.3178319693,47179.3179593964,47179.3180931917,47179.3182336803,47179.3183811933,47179.3185360821,47179.3186987152,47179.31886948,47179.3190487819
"Pengadaan Gas dan Produksi Es","Energi",212027.033597859,212032.154518001,212037.531484234,212043.177417418,212049.107635615,212055.333780523,212061.871472914,212068.736905368,212075.944620877,212083.513776225,212091.461389269,212099.806383065,212108.568626558,212117.768982136,212127.427315232
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",31082.1566081871,31401.4794670248,31736.76844352,32088.8321629282,32458.9918229622,32848.2659212827,33257.0871472524,33686.441807965,34137.203742856,34610.5687710351,35107.6020880241,35629.4869976983,36177.4661988692,36752.8443467644,37356.4516914112
"Konstruksi","Jasa",1525519.86265525,1525534.42152738,1525549.70834307,1525565.76116113,1525582.94312443,1525601.02798446,1525619.95435741,1525639.86036714,1525660.76147529,1525682.70786075,1525705.75156603,1525729.94745647,1525755.35314148,1525782.02911074,1525809.67316905
"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",155400.687448863,155401.731501176,155402.827756102,155403.978847009,155405.189593489,155406.461174587,155407.796395472,155409.198653329,155410.670939941,155412.216932197,155413.840224064,155415.544680527,155417.334359809,155419.21352306,155421.184309318
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",944145.006507782,944156.280547201,944168.118288601,944180.548154482,944193.621239959,944207.348932367,944221.762416502,944236.899453193,944252.792402346,944269.481012321,944287.004052908,944305.403245452,944324.722397644,944345.007507495,944366.282730831
"Angkutan Rel","Transportasi",191757.198213822,191801.735220528,191848.49907741,191897.601848657,191949.221722322,192003.42259991,192060.336079702,192120.103574586,192182.856670856,192248.750430673,192317.938875206,192390.58674456,192466.867006671,192546.961284438,192630.991462604
"Angkutan Darat","Transportasi",14183697.8937726,14183717.8549351,14183738.8141555,14183760.8214785,14183783.9363112,14183808.204984,14183833.6901327,14183860.4507636,14183888.5487713,14183918.0523928,14183949.0311956,14183981.5589383,14184015.7130683,14184051.5749049,14184089.221979
"Angkutan Laut","Transportasi",6664.75722139781,6676.66549514681,6689.16917891162,6702.29831654684,6716.10712027685,6730.609797372,6745.83675407331,6761.82824996687,6778.61813484904,6796.24879159631,6814.76097932992,6834.19877660173,6854.60846211389,6876.0386338288,6898.51456073395
"Angkutan Sungai Danau dan Penyeberangan","Transportasi",37.8321338157848,37.8322146081405,37.8322994373337,37.8323885100304,37.8324822061373,37.8325808684218,37.8326844727697,37.8327932840771,37.8329075284258,37.8330274900333,37.8331534499986,37.8332857146311,37.8334245883277,37.8335704020971,37.8337233230341
"Angkutan Udara","Transportasi",1594541.20289441,1594569.85445706,1594599.93859817,1594631.52729854,1594664.70825303,1594699.53868072,1594736.12195482,1594774.536999,1594814.87114125,1594857.22380283,1594901.69409741,1594948.38790663,1594997.41640639,1595048.89633117,1595102.93628241
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",587967.29246499,587967.394422083,587967.50147703,587967.613888295,587967.732057481,587967.856045131,587967.986332989,587968.123162621,587968.266816327,587968.417671722,587968.576069885,587968.742387955,587968.917021929,587969.100387605,587969.29277169
"Penyediaan Akomodasi","Jasa",6038.15212340636,6039.82253662842,6041.57647053757,6043.4181355156,6045.35479876841,6047.38828723927,6049.52362330951,6051.76611924677,6054.12060977224,6056.59296616346,6059.18894041418,6061.91471332129,6064.77677490034,6067.7819395675,6070.9341256062
"Penyediaan Makan Minum","Jasa",64688.4511206016,66403.9364712256,68205.1960876074,70096.5437999269,72082.9913749458,74168.9805625861,76359.3735225771,78659.4722705575,81074.3782177104,83610.2406328484,86272.8961694227,89068.6845084318,92004.262233377,95086.6188372875,98322.534697761
"Informasi dan Komunikasi","Jasa",82523.1601804917,82524.0762647063,82525.0381531378,82526.0481631352,82527.1088116584,82528.2209634186,82529.3904316038,82530.6184905996,82531.9078375834,82533.261780758,82534.6834210972,82536.176143449,82537.7435019183,82539.3892283139,82541.1171182468
"Jasa Perantara Keuangan","Jasa",39404.5739851456,39405.1961208327,39405.8493633035,39406.5352867698,39407.2558476533,39408.0116878967,39408.8060875796,39409.6403192084,39410.5161647105,39411.4359095882,39412.4016417101,39413.415660437,39414.4803800993,39415.5983357455,39416.7718300712
"Asuransi dan Dana Pensiun","Jasa",4156.80785880457,4156.87239779629,4156.94016373575,4157.0113191967,4157.08608192041,4157.16456301501,4157.24698889043,4157.33354606438,4157.4244242115,4157.51985370708,4157.62005467504,4157.72526569007,4157.83573726037,4157.95173240497,4158.07347332768
"Jasa Keuangan Lainnya","Jasa",6180.09183490881,6180.16000115321,6180.2315757094,6180.30673008541,6180.38570962886,6180.46865806388,6180.55575684036,6180.64722152292,6180.74325352374,6180.84409347823,6180.94997543135,6181.06115148136,6181.17788633471,6181.30045793085,6181.42908374139
"Jasa Penunjang Keuangan","Jasa",684.000260815154,684.010987294009,684.022250094825,684.034076400443,684.04652175719,684.059605766384,684.073345215264,684.08777561561,684.102925915721,684.118835478765,684.13554052182,684.153080818115,684.171498128416,684.190836302817,684.21111065734
"Real Estate","Jasa",137.130019004487,137.276876848572,137.431077583362,137.592989416508,137.763042432078,137.941624545873,138.129140257913,138.326041102622,138.532780081531,138.749863408829,138.97780090462,139.217135272526,139.46843636188,139.732302503543,140.009312245172
"Jasa Perusahaan","Jasa",7380.43006185519,7380.70312775228,7380.98984693641,7381.29093182105,7381.60740264763,7381.93803065955,7382.2868492125,7382.65325620302,7383.0378522397,7383.44182427033,7383.86599489934,7384.31137405858,7384.77902217127,7385.27005269624,7385.78529795539
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",52159.2598107765,52160.2596610658,52161.3095038716,52162.412320422,52163.5708350385,52164.7539162676,52166.0281311511,52167.3679602477,52168.7727542638,52170.250064906,52171.8012410781,52173.4299760574,52175.1401477897,52176.9358281065,52178.8212384439
"Jasa Pendidikan","Jasa",39857.7265833569,39859.333628255,39861.0210254029,39862.7927936926,39864.6531892347,39866.6065677348,39868.6576544161,39870.8113045365,39873.0726304228,39875.4470299511,39877.9401494516,39880.557924951,39883.3065891658,39886.1926866606,39889.2230470022
"Jasa Kesehatan dan Kegiatan Sosial","Jasa",44846.376809008,44848.2476870554,44850.2121090118,44852.2772529851,44854.4496051919,44856.7006350378,44859.0735410932,44861.5805373342,44864.1900106603,44866.954330624,44869.8568665747,44872.9045293256,44876.1045752168,44879.4646234047,44882.9925455302
"Jasa lainnya","Jasa",39386.4654137486,39386.8528778839,39387.2597152248,39387.6868966756,39388.1354970743,39388.6430311931,39389.1760134489,39389.7356600556,39390.323277024,39390.9402878867,39391.5881492919,39392.2684037697,39392.9826709688,39393.7326515296,39394.5200667699
"Lainnya","Lainnya",22.7194825797774,22.7263154683888,22.7334899898515,22.7410232350716,22.7489331286576,22.7572385678714,22.7659592373608,22.7751159333771,22.7847305174586,22.7948257774798,22.8054257981862,22.8165558685606,22.8282423891894,22.8405132891139,22.8533977016129
