"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Industri Batubara dan Pengilangan Migas","Indirect Land-based",26212519.6902535,27523212.6513023,28899440.2590656,30344499.5681423,31863014.5814068,33457194.2848496,35131382.0363367,36889471.461722,38735371.1106854,40673668.0373366,42708879.8164761,44845852.1802109,47089673.1625798,49445685.1938291,51918171.2160531
"Industri Makanan dan Minuman","Indirect Land-based",69545483.7262356,73022857.7486635,76674100.4950487,80507933.7535899,84534799.1516647,88763087.5832735,93202866.9166573,97864894.1994676,102759842.566669,107899731.459175,113296614.825084,118963342.315938,124913406.186763,131160973.254857,137719452.479354
"Pengolahan Tembakau","Indirect Land-based",3166333.24267453,3324658.01747181,3490899.03390897,3665452.73732928,3848769.92647691,4041250.9001123,4243362.21556143,4455585.12203919,4678415.84462883,4912391.69488029,5158066.33716722,5416024.70577243,5686881.00298253,5971280.10907268,6269859.75986582
"Industri Tekstil dan Pakaian Jadi","Industri",95539212.3428544,100316251.244456,105332142.119368,110598878.305161,116130445.870008,121937914.976982,128036897.485644,134441199.66603,141165416.967397,148226169.729119,155639960.14021,163424440.107235,171598144.029666,180180533.133731,189190431.837462
"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",9196684.51614999,9656532.73431058,10139373.3637034,10646358.9382386,11178836.706222,11737969.1464019,12325078.2711956,12941569.3249591,13588867.7683054,14268549.5759088,14982215.4751543,15731564.6705704,16518381.3224291,17344538.8072703,18211847.5458617
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",6646351.96096201,6978728.32854483,7327723.51811522,7694173.13541227,8079726.45798783,8484638.52267879,8909683.01452499,9356062.497179,9824756.72315865,10316890.3190513,10833630.5917758,11376207.8781904,11945914.0269296,12544105.4870014,13171332.4100962
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",16661596.6315154,17494701.7995171,18369462.2263343,19288024.3749895,20254956.9436307,21268007.1995348,22333783.4795891,23453326.8605069,24628558.1461244,25862868.3860886,27158894.141013,28519721.1827324,29948589.5747435,31448901.3891758,33021561.9596845
"Industri Kimia Farmasi dan Obat Tradisional","Industri",38758977.8803865,40697922.5803375,42733814.5097587,44871665.7165072,47124472.5254256,49494035.0554603,51982118.2484996,54596139.9350885,57339804.0835624,60221783.9048975,63247862.7312526,66425245.4943351,69761497.3951931,73264561.893205,76933953.2180198
"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",20383211.4601036,21402721.6968194,22473207.4414117,23597256.2595625,24782504.3786529,26027308.1390065,27333927.1934267,28706451.2263905,30147513.3490412,31660724.4421444,33249596.1042762,34917911.3433752,36669642.3456522,38508959.9011644,40434665.4723879
"Industri Barang Galian bukan Logam","Indirect Land-based",12159119.1866801,12767716.6878037,13406744.068856,14077771.4374778,14791364.2203325,15541749.9585934,16328031.8667193,17154560.9835714,18022393.3273432,18933642.5989295,19890454.3529538,20895106.6891013,21949991.6447605,23057620.847013,24210539.0390477
"Industri Logam Dasar","Industri",18832966.6030102,19774811.0039933,20763747.6286801,21802145.9613946,22895213.041216,24043281.6051493,25248259.2142963,26513770.5482099,27842549.9313648,29237776.464904,30702764.3286729,32241001.590218,33856150.7078529,35552057.2886794,37329681.5735389
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",154132047.488588,161841894.125555,169937233.112309,178437598.112311,187408888.444408,196834112.003858,206722688.828226,217110504.892368,228017513.016733,239470087.411946,251495290.584793,264121753.952033,277379540.418552,291300216.269012,305865543.532095
"Industri Mesin dan Perlengkapan YTDL","Industri",63796751.0614325,66986970.138212,70336700.1687391,73853974.4304338,77551348.3601928,81434408.7303172,85511786.317557,89793655.3126836,94289347.3281544,99010115.4512551,103966921.973483,109171568.798285,114636448.016234,120374571.133555,126394911.446316
"Industri Alat Angkutan","Industri",135444037.682942,142216388.919399,149327357.660753,156793906.086979,164635858.530451,172869746.668088,181515609.161786,190594081.142056,200126332.11959,210135352.076731,220644823.042239,231679767.583894,243266459.293336,255432485.663723,268204517.946463
"Industri Furnitur","Indirect Land-based",3679684.67241774,3863667.8274342,4056850.13944972,4259698.23082277,4472962.28405373,4696573.26332645,4931657.11747178,5178543.67871071,5437751.46443834,5709945.52480737,5995749.29249431,6295843.24554739,6610941.89444878,6941795.47801915,7288891.67689824
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",7563539.10641319,7941794.08702958,8338961.82232193,8755993.53105582,9194257.66179071,9654821.44874842,10138469.143191,10646356.2515108,11179612.8219456,11739559.2015927,12327502.8984184,12944843.7814857,13593051.7065817,14273670.0253914,14987898.050892
"Ketenagalistrikan","Energi",2360386.32170619,2478402.02733557,2602318.51733113,2732431.79321879,2869053.08577844,3012439.76918279,3163058.77663726,3321212.64247578,3487270.16769925,3661635.0995662,3844718.27904121,4036955.61653268,4238804.82239895,4450746.48715951,4673283.73292361
"Pengadaan Gas dan Produksi Es","Energi",10602634.2316784,11132770.0758262,11689412.7207452,12273899.779926,12887817.0335375,13532369.6714206,14209174.8114724,14919908.7670735,15666077.0804661,16449662.9298252,17272428.0643616,18136331.4658885,19043430.0382604,19995883.530033,20995748.4812469
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1235683.90646107,1297488.11095195,1362382.52077364,1430523.64348349,1502167.19385846,1577510.29977695,1656636.70726939,1739737.31380405,1826981.24899274,1918599.96087233,2014799.61558473,2115809.23887201,2221869.35222933,2333232.46867373,2450059.28118735
"Konstruksi","Jasa",143588825.119031,150779787.708091,158330298.405903,166259155.334089,174745723.129819,183678252.434785,193026424.369377,202858461.49572,213182000.673975,224021826.414161,235403643.710776,247354551.820837,259903005.362014,273078881.575335,286732919.29409
"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",34273325.6358109,35987397.431097,37787172.8115102,39676975.1062284,41664716.874851,43752333.8149863,45944431.3085416,48246586.6818277,50663711.6899613,53201842.8613213,55866880.5898353,58665170.2077436,61603374.3017182,64688488.6064884,67924024.8874793
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",208205512.602626,218617208.178253,229549488.541952,241028602.175796,253101735.962291,265779406.228081,279090412.462305,293069627.195605,307746935.144938,323159044.343708,339341759.107249,356333609.542977,374175052.519087,392908567.689649,412556463.216785
"Angkutan Rel","Transportasi",1033450.34013191,1085127.8307335,1139389.19568169,1196364.46607671,1256260.39832575,1319151.13906741,1385189.38534049,1454539.22233309,1527353.33317307,1603811.64066939,1684092.85974051,1768388.14277613,1856898.18913858,1949833.74077815,2047336.22385241
"Angkutan Darat","Transportasi",76794514.7554536,80634330.1904194,84666136.3816233,88899560.0945076,93346029.1672976,98014455.9054377,102916889.189386,108064679.754934,113469733.880991,119145177.976639,125104394.297329,131361571.395566,137931607.38162,144830145.175038,152072098.980758
"Angkutan Laut","Transportasi",223453.026098817,234627.522816802,246360.7409253,258680.873003819,271638.790768619,285247.826050961,299536.511486838,314542.625903159,330297.933302515,346842.204966987,364213.688477721,382453.746306172,401605.805502834,421715.469467715,442806.450136219
"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1315.5126309121,1381.49996166207,1450.78438824287,1523.53470538848,1600.06120288976,1680.6438365456,1765.26291124648,1854.13478124236,1947.44409951591,2045.42300122766,2148.3010746758,2256.32849855998,2369.75388990237,2488.84760058189,2613.74610577498
"Angkutan Udara","Transportasi",8940213.90168115,9387231.18748017,9856599.34271483,10349441.4006856,10867125.5632233,11410544.5535818,11981311.1848214,12580656.8117807,13209943.9126024,13870723.6422501,14564542.3572981,15293052.0067077,16057987.1397064,16861169.0299482,17704292.0603281
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3413200.63786683,3583870.53739338,3763073.93041868,3951243.47199367,4149051.41636369,4356599.11343146,4574692.97017805,4803737.35344293,5044204.81774017,5296727.46569369,5561876.24350313,5840282.45881112,6132608.98507625,6439551.84272215,6761590.9627191
"Penyediaan Akomodasi","Jasa",6642630.28897074,6974802.00647567,7323582.31502489,7689808.47436306,8074925.61209887,8479297.02689177,8903921.44948191,9349855.25624293,9818059.86057038,10309702.8013168,10825927.8970457,11367964.236394,11937102.3979967,12534697.4694994,13161528.6251362
"Penyediaan Makan Minum","Jasa",33606502.0870891,35286883.3749725,37051283.725513,38903928.6947671,40849727.4934622,42893030.9797687,45038601.8187978,47291633.5307762,49657123.1364542,52141094.0718486,54749263.5546781,57487841.5367311,60363348.3875071,63382630.573689,66552329.7256677
"Informasi dan Komunikasi","Jasa",41944600.4096454,44041673.4969013,46243600.2525814,48555685.48401,50983690.9420754,53529596.0981696,56206708.3312922,59017944.9280032,61969480.1873641,65068887.1500216,68323264.474341,71740360.6547731,75328311.6440967,79095660.1892056,83051095.0918189
"Jasa Perantara Keuangan","Jasa",31832351.0126475,33423928.1572099,35095084.1575386,36849846.2369252,38693219.4066949,40626845.9151578,42659117.0182287,44793288.102141,47033917.7786976,49386852.9288401,51857434.8373264,54451545.8383485,57175362.3869618,60035369.7649609,63037458.8379296
"Asuransi dan Dana Pensiun","Jasa",3357857.13456524,3525758.47941331,3702054.88672939,3887169.30002845,4081668.18390727,4285840.59159555,4500275.53959403,4725458.26288124,4961882.2092791,5210146.71142275,5470824.43240097,5744536.03598021,6031933.2315104,6333700.27583344,6650415.24305416
"Jasa Keuangan Lainnya","Jasa",4992634.43069284,5242294.31513499,5504437.19224088,5779691.21272513,6068954.96586725,6372754.84341305,6691755.4083427,7026746.16927526,7378464.80126713,7747792.63511988,8135586.86397952,8542770.80152224,8970313.93898061,9419234.23375389,9890328.17887593
"Jasa Penunjang Keuangan","Jasa",552550.786537525,580190.347278912,609211.880951206,639685.431209996,671754.127604446,705468.478021322,740871.73915013,778055.416317455,817094.102343127,858089.226661823,901134.111983477,946331.244372142,993788.231298856,1043618.06392275,1095860.20796059
"Real Estate","Jasa",14970429.8917962,15718982.6446055,16504963.0274164,17330247.8405632,18197029.2761856,19107284.5895299,20063075.5676538,21066703.7378515,22120478.1054352,23226978.9072935,24388804.7600853,25608721.8918863,26889634.8958367,28234593.5389841,29646546.7509073
"Jasa Perusahaan","Jasa",6626434.7339628,6957668.68846195,7305464.33121402,7670685.83283682,8054570.7649759,8455628.62325433,8878751.94231123,9323210.35955732,9789732.42427291,10279757.9259525,10794284.6989012,11334537.8090086,11901803.5691474,12497432.6253492,13122434.599403
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",38448697.5293413,40367393.4596262,42382024.1902048,44498310.6479904,46721480.7600968,48991793.7895042,51436990.7728154,54008100.3302044,56703876.4782396,59538810.8149351,62515491.8644939,65641006.963553,68922797.8253759,72368678.2263189,75986749.0313683
"Jasa Pendidikan","Jasa",40473792.9076875,42497483.2073691,44622358.0280645,46853478.2073319,49196203.3026455,51656018.2878191,54238873.4561078,56950882.8483024,59798484.2226854,62788474.9183614,65927965.14355,69224429.910091,72685717.8399475,76320070.2533998,80136087.3634404
"Jasa Kesehatan dan Kegiatan Sosial","Jasa",11119551.7557332,11674465.9049562,12257125.7635635,12869660.4033951,13513993.6769043,14181663.2310378,14885482.0324514,15629072.822902,16403058.9587855,17222973.5774412,18083883.9237192,18987839.788095,19936993.4465129,20933604.7884517,21980008.5919781
"Jasa lainnya","Jasa",28805845.9682017,30261253.0922259,31789430.5679303,33394025.3423541,35079074.7612743,36985493.200699,38987500.8740932,41089666.1693991,43296894.7722209,45614533.8083468,48048054.7941768,50603251.8381679,53286208.7244877,56103313.4614722,59061031.727403
"Lainnya","Lainnya",16511.8573349974,17337.4510411918,18204.3230336217,19114.5383458582,20070.2627448175,21073.7795196514,22127.4670965598,23233.838212869,24395.5343207351,25615.3087982531,26896.0717198321,28240.8786636019,29652.9195188187,31135.5688525378,32692.346735535
