"sector","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Industri Alat Angkutan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri Furnitur","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ketenagalistrikan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengadaan Gas dan Produksi Es","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Konstruksi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perdagangan Mobil Sepeda Motor dan Reparasinya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angkutan Rel","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angkutan Darat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angkutan Laut","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angkutan Sungai Danau dan Penyeberangan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angkutan Udara","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Penyediaan Akomodasi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Penyediaan Makan Minum","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Informasi dan Komunikasi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Perantara Keuangan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Asuransi dan Dana Pensiun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Keuangan Lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Penunjang Keuangan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Real Estate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Perusahaan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Pendidikan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa Kesehatan dan Kegiatan Sosial","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasa lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lainnya","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
