"Sektor","Kategori","y2016","y2017","y2018","y2019","y2020","y2021","y2022","y2023","y2024","y2025","y2026","y2027","y2028","y2029","y2030"
"Industri Batubara dan Pengilangan Migas","Indirect Land-based",34241473.2697462,27522990.8694197,28899122.4304675,30344075.0005754,31861293.7005751,33453946.2222383,35126765.2082307,36883297.1786599,38727561.5031424,40664141.3377307,50726634.0551302,44832629.4359068,47074462.6672806,49428387.5603287,51900008.7010741
"Industri Makanan dan Minuman","Indirect Land-based",72663025.8729783,73022612.6286692,76673749.2213413,80507464.5087698,84532897.1825104,88759497.7269722,93197764.2596423,97858070.1964821,102751211.153976,107889202.264789,116401779.124294,118948728.142001,124896595.090755,131141855.391056,137699378.722581
"Pengolahan Tembakau","Indirect Land-based",3251068.02696081,3324651.42866461,3490889.59169785,3665440.12406344,3848718.8016876,4041154.4050421,4243225.05652065,4455401.69334684,4678183.83289808,4912108.67091887,5242468.40583452,5415631.87786471,5686429.12197308,5970766.22231663,6269320.1787778
"Industri Tekstil dan Pakaian Jadi","Industri",103015257.690015,100315982.101501,105331756.419116,110598363.07205,116128357.498558,121933973.297176,128031294.743243,134433706.877319,141155939.633973,148214608.622099,163102414.549849,163408393.672653,171579685.363889,180159541.625615,189168390.754178
"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",9701186.95525341,9656506.54973347,10139335.8394145,10646308.8118619,11178633.5312092,11737585.6653668,12324533.1874849,12940840.3610372,13587945.7305424,14267424.8104523,15485395.6691802,15730003.5332774,16516585.5022189,17342496.5700375,18209703.1967904
"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",7868225.30414725,6978582.19576406,7327514.0998512,7693893.38650558,8078592.5641892,8482498.36399696,8906640.97194887,9351994.24262831,9819610.94815833,10310613.1466841,12048124.6540656,11367495.3703338,11935891.7836834,12532708.0218227,13159365.0717879
"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",23387973.7582697,17494255.9616693,18368823.3102224,19287170.8864716,20251497.5365893,21261477.7696865,22324502.4838549,23440914.9852009,24612858.8537471,25843717.3030566,33862757.7516583,28493140.1122091,29918012.6204484,31414128.7576111,32985050.6969362
"Industri Kimia Farmasi dan Obat Tradisional","Industri",54304066.568566,40696446.9920453,42731699.8908695,44868840.9279191,47113022.9355046,49472424.6195428,51951400.9625767,54555060.3857023,57287844.1789837,60158399.6183318,78718438.4979252,66337270.1987105,69660296.9340962,73149475.0106481,76813111.9926413
"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",30270951.2654051,21401789.1964912,22471871.1046988,23595471.1299981,24775268.7924026,26013651.3902436,27314515.3565657,28680490.9409341,30114677.206111,31620668.6431573,43090247.352723,34862315.2177688,36605688.55605,38436230.5658112,40358299.6710925
"Industri Barang Galian bukan Logam","Indirect Land-based",26108613.7022335,12766029.4390171,13404326.1260098,14074541.4571758,14778272.284863,15517039.6908498,16292908.4493849,17107588.9248869,17962980.2197609,18861166.3796737,33754747.706286,20794512.0912877,21834274.8448303,22926025.7374741,24072364.1755255
"Industri Logam Dasar","Industri",23198078.1107154,19774296.4910271,20763010.2964289,21801161.0048432,22891220.7606431,24035746.4074625,25237548.6102755,26499446.7961723,27824432.3813866,29215675.423938,35041894.426276,32210326.0755448,33820863.799099,35511928.4169377,37287546.2586656
"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",231002045.578945,161833304.0782,169924922.98726,178421153.777621,187342235.354151,196708308.167595,206543870.019413,216871362.798035,227715031.59744,239101099.648848,327931516.238577,263609611.127695,276790408.099047,290630244.992889,305162073.69977
"Industri Mesin dan Perlengkapan YTDL","Industri",124691274.83207,66986186.2329189,70335576.7788689,73852473.7633861,77545265.7732069,81422928.2006931,85495467.7799599,89771831.8295539,94261743.6636074,98976442.5914203,164821860.828244,109124831.981339,114582685.338978,120313431.304188,126330714.626175
"Industri Alat Angkutan","Industri",154352627.148759,142216005.19134,149326807.752214,156793171.498172,164632881.054319,172864126.854838,181507621.104021,190583398.368379,200112819.899783,210118868.936138,239534035.358256,231656889.529331,243240142.022626,255402557.216653,268173093.077378
"Industri Furnitur","Indirect Land-based",4260726.64661094,3863617.66299839,4056778.25038412,4259602.19866626,4472573.04118584,4695838.59002279,4930612.84562024,5177147.1289893,5435985.02368257,5707790.69815839,6574258.10847641,6292852.41735108,6607501.46051355,6937882.95813577,7284783.5310651
"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",8793105.73248802,7941723.66872927,8338860.908084,8755858.72596677,9193711.26232021,9653790.15148589,10137003.2471302,10644395.8455759,11177133.1816664,11736534.3648207,13553513.6050865,12940645.4079825,13588222.1992596,14268177.8276687,14982131.2433454
"Ketenagalistrikan","Energi",21640950.3027706,2478401.77611452,2602318.15731419,2732431.31229442,2869051.13646911,3012436.08997465,3163053.54697467,3321205.64862278,3487261.32144996,3661624.30829927,23125269.5731014,4036940.6386107,4238787.59287332,4450726.89345044,4673263.15952931
"Pengadaan Gas dan Produksi Es","Energi",11209274.7771051,11132734.7640538,11689362.1165615,12273832.1809268,12887543.0375212,13531852.5198551,14208439.7271566,14918925.7071596,15664833.6466874,16448146.1032722,17877285.4679165,18134226.1607468,19041008.2464428,19993129.4272605,20992856.673367
"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",2135836.04073403,1297470.64679742,1362357.4934464,1430490.21102493,1502031.68356148,1577254.53196261,1656273.15638533,1739251.1215495,1826366.28355299,1917849.78348118,2914069.86076488,2114768.0174379,2220671.60587921,2331870.37118885,2448629.07884368
"Konstruksi","Jasa",386640280.189275,150749589.790948,158287022.726403,166201346.030383,174511407.250804,183235994.82356,192397795.055865,202017768.44117,212118641.130183,222724666.871769,476930191.690879,245554137.232343,257831937.737546,270723628.309875,284259903.392089
"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",45150898.1027798,35986756.5106898,37786254.3287553,39675748.1619229,41659743.7560793,43742947.3421721,45931089.2838671,48228743.8176207,50641142.9535593,53174311.9551904,66712088.4387332,58626958.2196168,61559417.9752244,64638500.7257021,67871537.613221
"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",250278006.699594,218613480.86549,229544147.047975,241021466.804355,253072814.478655,265724818.607644,279012821.082325,292965860.901478,307615685.245125,322998936.635103,381226034.739573,356111385.333168,373919421.749792,392617860.038666,412251220.186552
"Angkutan Rel","Transportasi",1212126.21662972,1085114.48262454,1139370.06692912,1196338.91315923,1256156.8258221,1318955.65198286,1384911.51807796,1454167.61847583,1526883.30608531,1603238.26910788,1862094.69552257,1767592.32199215,1855982.73407,1948792.66973141,2046243.09926516
"Angkutan Darat","Transportasi",142670274.041314,80634077.6040378,84665774.4080725,88899076.5564286,93344069.2639123,98010756.7016405,102911631.104766,108057647.891919,113460839.55433,119134328.061605,190967398.704782,131346512.071965,137914284.217413,144810444.978587,152051413.774709
"Angkutan Laut","Transportasi",298646.813009579,234623.482722203,246354.951193572,258673.13885929,271607.442304658,285188.657646134,299452.408934923,314430.151938384,330155.669412949,346668.661631654,439203.462347953,382212.87389036,401328.723176794,421400.366742194,442475.592277998
"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1755.10084877524,1381.47459955354,1450.74804260767,1523.48615350235,1599.86440968955,1680.27240081109,1764.73494884431,1853.42871438384,1946.55102334678,2044.33356512712,2586.60857973765,2254.81639724589,2368.01447716012,2486.86951087938,2611.6691116098
"Angkutan Udara","Transportasi",9762429.61592839,9387194.75012315,9856547.12549146,10349371.6469265,10866842.8334145,11410010.9174902,11980552.6692382,12579642.4162237,13208660.8436025,13869158.465912,15384918.0909237,15290879.5936617,16055488.151776,16858327.1384455,17701308.0742826
"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",4272691.34337393,3583828.59621683,3763013.82584572,3951163.18201204,4148725.98055293,4355984.87224184,4573819.88171658,4802569.73464153,5042727.94269136,5294925.87132828,6419249.04150358,5837781.90535411,6129732.52798622,6436280.68688242,6758156.24912451
"Penyediaan Akomodasi","Jasa",8031958.85045165,6974694.39889723,7323428.10600926,7689602.47607668,8074090.64840871,8477721.0814261,8901681.38511429,9346859.52168978,9814270.67388623,10305080.4892363,12209822.5884978,11361548.6199409,11929722.3336427,12526304.7350161,13152716.2540241
"Penyediaan Makan Minum","Jasa",34942001.3891476,35286791.9011818,37051152.6373181,38903753.5821551,40849017.717302,42891691.3184942,45036697.6111009,47289086.9518134,49653902.0689915,52137164.7909009,56080143.6961129,57482387.8245936,60357074.8287873,63375496.1761993,66544838.6083845
"Informasi dan Komunikasi","Jasa",43387976.9421963,44041626.5089903,46243532.915693,48555595.5328254,50983326.3469407,53528907.9460307,56205730.1850812,59016636.8109488,61967825.6016069,65066868.7718388,69764268.2538726,71737559.2125398,75325089.0661703,79091995.4188742,83047247.0830126
"Jasa Perantara Keuangan","Jasa",35156344.1731882,33423774.5742026,35094864.0625907,36849552.2256968,38692027.7040625,40624596.6456601,42655919.8844669,44789012.4374684,47028509.6588005,49380255.7300169,55173672.5024068,54442389.1443442,57164829.1838759,60023391.2275772,63024881.3738126
"Asuransi dan Dana Pensiun","Jasa",3678650.83873115,3525735.00106351,3702021.24064922,3887124.35431091,4081486.00742981,4285496.7440762,4499786.79135193,4724804.63880784,4961055.46592403,5209138.19267817,5790432.54812212,5743136.24528278,6030323.01283466,6331869.10781684,6648492.51665752
"Jasa Keuangan Lainnya","Jasa",5863088.75347995,5242248.78216433,5504371.94038143,5779604.04680182,6068601.66010796,6372087.99931443,6690807.54958957,7025478.55694265,7376861.44833776,7745836.75428513,9003741.9040928,8540056.1035432,8967191.14541377,9415682.93989039,9886599.32035955
"Jasa Penunjang Keuangan","Jasa",752171.213792853,580177.109338579,609192.910077805,639660.089193541,671651.40993651,705274.604389527,740596.165265204,777686.879492822,816627.954624181,857520.587422795,1100086.06172096,945541.99189542,992880.331939167,1042585.58535646,1094776.1054777
"Real Estate","Jasa",15640669.1358202,15718940.2876579,16504902.3270152,17330166.7546514,18196700.6142664,19106664.2592479,20062193.8240966,21065524.5442178,22118986.5898367,23225159.4533727,25056905.1013689,25606196.5499564,26886729.9238679,28231289.9555401,29643077.9883286
"Jasa Perusahaan","Jasa",8100129.5219275,6957600.39001011,7305366.45486386,7670555.08587415,8054040.81412852,8454628.37181251,8877330.17508494,9321308.96901342,9787327.43023808,10276824.147834,12264530.6135574,11330465.8219081,11897119.447665,12492105.7628717,13116841.3938621
"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",39036993.6354256,40367376.1389071,42381999.3684303,44498277.4901171,46721346.3627637,48991540.1223447,51436630.2078226,54007618.1311109,56703266.5635921,59538066.7988498,63102913.324582,65639974.2938077,68921609.9162744,72367327.3159202,75985330.575465
"Jasa Pendidikan","Jasa",40648162.333258,42497474.3696555,44622345.3630168,46853461.288878,49196134.727829,51655888.8568361,54238689.481637,56950636.8113193,59798173.0201928,62788095.2920297,66101888.2902722,69223903.0012849,72685111.7219031,76319380.965669,80135363.6113309
"Jasa Kesehatan dan Kegiatan Sosial","Jasa",11210413.2438238,11674459.5350491,12257116.6350513,12869648.2091803,13513944.2506357,14181569.9418266,14885349.4302502,15628895.4882674,16402834.6551884,17222699.9563946,18174423.7500103,18987460.0111223,19936556.5783618,20933107.974573,21979486.9374112
"Jasa lainnya","Jasa",29673233.5037625,30261212.6828931,31789372.6585941,33393947.9848535,35078761.2115583,36984901.3938228,38986659.6739853,41088541.1962663,43295471.8379991,45612798.0147342,48913401.7758406,50600842.6139818,53283437.326031,56100161.780094,59057722.4619917
"Lainnya","Lainnya",16511.8573349974,17337.4510411918,18204.3230336217,19114.5383458582,20070.2627448175,21073.7795196514,22127.4670965598,23233.838212869,24395.5343207351,25615.3087982531,26896.0717198321,28240.8786636019,29652.9195188187,31135.5688525378,32692.346735535
