ID;Sektor;Padat_Ditimbun_di_TPA;Padat_Ditimbun_Lubang;Padat_Kompos;Padat_3R;Padat_ins_sampah_domestik;Padat_ins_sampah_industri;Padat_dibakar_terbuka;Padat_tidak_terkelola;Cair_septic_tank;Cair_MCK_plus;Cair_IPAL_Aerob;Cair_IPAL_Anaerob;Cair_tidak_terkelola;Cair_Biogas;Cair_Pengolahan_KIMIA;Cair_3R
17;Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18;Industri Kimia, Farmasi dan Obat Tradisional;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19;Industri Karet, Barang dari Karet dan Plastik;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
20;Industri Barang Galian bukan Logam;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
21;Industri Logam Dasar;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
22;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
23;Industri Mesin dan Perlengkapan YTDL;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
24;Industri Alat Angkutan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
25;Industri Furnitur;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
26;Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
27;Ketenagalistrikan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
28;Pengadaan Gas dan Produksi Es;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29;Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
30;Konstruksi;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
31;Perdagangan Mobil, Sepeda Motor dan Reparasinya;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
32;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
33;Angkutan Rel;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
34;Angkutan Darat;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
35;Angkutan Laut;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
36;Angkutan Sungai Danau dan Penyeberangan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
37;Angkutan Udara;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
38;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
39;Penyediaan Akomodasi;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40;Penyediaan Makan Minum;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
41;Informasi dan Komunikasi;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
42;Jasa Perantara Keuangan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
43;Asuransi dan Dana Pensiun;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
44;Jasa Keuangan Lainnya;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
45;Jasa Penunjang Keuangan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
46;Real Estate;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
47;Jasa Perusahaan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
48;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
49;Jasa Pendidikan;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
50;Jasa Kesehatan dan Kegiatan Sosial;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
51;Jasa lainnya;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
52;Lainnya;-0.28;-0.28;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
