ID;Sektor;Padat_Ditimbun_di_TPA;Padat_Ditimbun_Lubang;Padat_Kompos;Padat_3R;Padat_ins_sampah_domestik;Padat_ins_sampah_industri;Padat_dibakar_terbuka;Padat_tidak_terkelola;Cair_septic_tank;Cair_MCK_plus;Cair_IPAL_Aerob;Cair_IPAL_Anaerob;Cair_tidak_terkelola;Cair_Biogas;Cair_Pengolahan_KIMIA;Cair_3R
19;Industri Karet, Barang dari Karet dan Plastik;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
20;Industri Barang Galian bukan Logam;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
21;Industri Logam Dasar;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
22;Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
23;Industri Mesin dan Perlengkapan YTDL;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
24;Industri Alat Angkutan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
25;Industri Furnitur;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
26;Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
27;Ketenagalistrikan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
28;Pengadaan Gas dan Produksi Es;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
29;Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
30;Konstruksi;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
31;Perdagangan Mobil, Sepeda Motor dan Reparasinya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
32;Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
33;Angkutan Rel;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
34;Angkutan Darat;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
35;Angkutan Laut;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
36;Angkutan Sungai Danau dan Penyeberangan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
37;Angkutan Udara;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
38;Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
39;Penyediaan Akomodasi;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
40;Penyediaan Makan Minum;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
41;Informasi dan Komunikasi;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
42;Jasa Perantara Keuangan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
43;Asuransi dan Dana Pensiun;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
44;Jasa Keuangan Lainnya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
45;Jasa Penunjang Keuangan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
46;Real Estate;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
47;Jasa Perusahaan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
48;Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
49;Jasa Pendidikan;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
50;Jasa Kesehatan dan Kegiatan Sosial;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
51;Jasa lainnya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
52;Lainnya;-0.2;-0.2;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0
